,node_id,community,Betweenness,Out-degree,In-degree,Clustering,Type
25073877,418441,H,811023594303.6265,2002446.0,189.0,0.00010548639113942041,Political
759251,7108687,C,439708834796.61505,1283762.0,212.0,5.5528079593959944e-05,Political
78523300,6755634,H,66205799590.59883,946922.0,8.0,0.00031589566080253385,Political
18839785,10665072,F,412660480032.22296,890840.0,2.0,3.3193516701270195e-05,Political
939091,22408982,C,0.0,868760.0,1.0,0.0001920097428375649,Political
14247236,232150,C,659608368136.8873,846429.0,1534.0,0.00021910137613372584,Political
32871086,12739860,C,6852968414.70078,760447.0,2.0,0.0005489029731362484,Political
21059255,3457885,C,60526760999.349625,729615.0,48.0,0.00043697708230894315,Political
807095,2820254,C,492096804351.488,727441.0,597.0,0.00010521465112763124,Political
878247600096509952,12609137,H,85520852730.9159,716341.0,11.0,0.00021794740427068859,Political
292558545,16883808,F,0.0,647861.0,69.0,8.37617933625862e-05,Political
16129920,3814317,C,41066123937.56079,627157.0,163.0,0.0005147390322656055,Political
50769180,2700308,H,33092394517.000603,618235.0,64.0,0.00044356959475458054,Political
17980523,2485299,H,67267154532.95365,593524.0,108.0,0.0005293098347620886,Political
39344374,3203733,H,58237482884.11595,588472.0,150.0,0.0004814166385650441,Political
1651522832,1400518,C,194425932515.44272,538745.0,763.0,0.0004146482964225589,Political
18266688,3147108,H,24661194570.007263,537712.0,285.0,0.000751705753645941,Political
523248016,8211877,H,3759406036.067538,512437.0,2.0,0.0007530783114634616,Political
822215673812119553,4298466,H,78037312323.14125,510310.0,166.0,0.0004332498385859907,Political
292929271,5747938,H,36761090709.062645,499658.0,4.0,0.00022042537097731948,Political
288277167,1401584,C,190886538800.20108,471793.0,301.0,0.0005321129294598156,Political
3223426134,2605686,C,114561792579.21678,454935.0,559.0,0.0002759869879412482,Political
28785486,11676510,C,114010592411.33461,442991.0,161.0,0.00010923231457842506,Political
1917731,13412027,C,0.0,409032.0,5.0,0.00026312360555516204,Political
471677441,875236,C,111863535360.26118,407987.0,1611.0,0.0008884012940168114,Political
813286,21497660,C,0.0,403927.0,0.0,9.439755482558743e-05,Political
309822757,1548766,C,36547377630.78735,395256.0,42.0,0.0003944274814332366,Political
2467791,9905020,C,81655089650.18178,381535.0,91.0,0.00030716173487251925,Political
14298769,1400310,C,78494073840.4756,371968.0,269.0,0.0007247560300811851,Political
2421067430,6490855,C,9524685376.302435,360582.0,66.0,0.0007373482982474071,Political
14173315,1801873,C,67473925517.23263,353542.0,511.0,0.0002749432906507874,Political
592730371,552214,H,281475735025.2543,347393.0,547.0,0.0007001355422073429,Political
