,Political Supporter,Public Services,Politics & Government,Media,Healthcare,Science,Internationality
A,0.0026803614093867576,0.0016268647018988795,0.0003083862437229266,0.010597662453706897,0.0037589094755089477,0.012638879306706999,2.3348465111105177
B,0.007414752945789364,0.005248930186651163,0.0047803587001345295,0.033034923575103264,0.03308478059530972,0.09710077202328238,3.4747360253451114
C,0.061827425682092485,0.01563780807158649,0.008449041550084503,0.05608268694938597,0.015654838815215982,0.058741275665442697,1.4114162003362032
D,0.021795436633578743,0.02698032904706116,0.011574398720115446,0.047514958509055384,0.046987497231654664,0.0933223968935978,1.782410077163449
E,0.0007066805445029289,0.0010816791521813657,0.0004907159998168324,0.005905918666143566,0.0044492409062837635,0.00870231917455752,2.8680319877036933
F,0.014595409529255803,0.005426165163369811,0.019058511606144888,0.024658833926853994,0.012105871955498948,0.06516791869200177,0.8115135782539374
G,0.007479234212188026,0.0029783267206311436,0.008497769039743744,0.03619523286713725,0.017143131643015726,0.08426757042197139,2.8828783255579458
H,0.12270625724075133,0.008586679234407804,0.006685917862476836,0.02159314182307237,0.008678638315900792,0.02361952586882858,1.558921412285599
I,0.004355818328406342,0.08908142972319269,0.012598763773179252,0.07113571620532115,0.0223638806772373,0.050309056705186775,1.2131289112538564
J,0.017771730437621466,0.08751333810985563,0.013992142839927344,0.06045149091036571,0.03618982513108048,0.09922239093424833,1.5248407376038051
K,0.058781262039770535,0.009303271035768902,0.006124180704694417,0.03724617504614999,0.00790872583477712,0.05889471656459699,2.2608629926226773
L,0.018146768685221984,0.005299253106766464,0.021093883249838366,0.031137078509069417,0.019356553264236784,0.06901325209927374,2.144947083758923
M,0.024246036860420157,0.021211925935472786,0.01383876788245908,0.07935408342999527,0.042805129527000906,0.13826953645229195,1.8461111517773081
N,0.0005382332493589792,0.00016446015952635475,7.475461796652489e-05,0.005771056507015721,0.0015249942065171077,0.0024893287782852785,2.7245681816117795
O,0.002167432116670695,0.00488276528885666,0.0003786963177826122,0.025340423817581177,0.004222061074852953,0.017307227459511722,2.4818184973334017
